,Voltage,Raw
999,0.2,7d70a2
1000,0.19899999999999998,7d70a2
1001,0.198,7df3b5
1002,0.19699999999999998,7e76c7
1003,0.196,7db22c
1004,0.195,7e353e
1005,0.19399999999999998,7eb850
1006,0.193,7e76c7
1007,0.192,7eb850
1008,0.191,7fbe75
1009,0.19,7f3b63
1010,0.18899999999999997,7f7cec
1011,0.188,7fbe75
1012,0.187,7fffff
1013,0.18600000000000003,7fbe75
1014,0.185,804188
1015,0.184,80c49a
1016,0.183,808311
1017,0.182,808311
1018,0.18100000000000002,818936
1019,0.18,8147ad
1020,0.179,8147ad
1021,0.17800000000000002,81cabf
1022,0.177,820c48
1023,0.17600000000000002,818936
1024,0.175,820c48
1025,0.174,828f5b
1026,0.17300000000000001,824dd1
1027,0.172,824dd1
1028,0.171,8353f6
1029,0.17,83126d
1030,0.16899999999999998,83126d
1031,0.168,8353f6
1032,0.16699999999999998,83d709
1033,0.166,8353f6
1034,0.165,83d709
1035,0.16399999999999998,845a1b
1036,0.163,841892
1037,0.162,841892
1038,0.161,84dd2e
1039,0.16,84dd2e
1040,0.159,84dd2e
1041,0.158,851eb7
1042,0.157,85a1c9
1043,0.156,851eb7
1044,0.155,856040
1045,0.154,8624dc
1046,0.153,85e352
1047,0.152,85e352
1048,0.151,86e977
1049,0.15,866665
1050,0.149,866665
1051,0.14800000000000002,86a7ee
1052,0.147,872b00
1053,0.146,86a7ee
1054,0.145,86e977
1055,0.14400000000000002,876c8a
1056,0.14300000000000002,872b00
1057,0.142,872b00
1058,0.141,883125
1059,0.14,87ef9c
1060,0.139,87ef9c
1061,0.138,883125
1062,0.13699999999999998,8872af
1063,0.136,87ef9c
1064,0.135,8872af
1065,0.134,88f5c1
1066,0.133,88b438
1067,0.132,88b438
1068,0.131,8978d3
1069,0.13,89374a
1070,0.129,89374a
1071,0.128,89ba5d
1072,0.127,89fbe6
1073,0.126,8978d3
1074,0.125,89fbe6
1075,0.124,8a3d6f
1076,0.12300000000000001,89fbe6
1077,0.122,8a3d6f
1078,0.121,8b020b
1079,0.12,8ac081
1080,0.11900000000000001,8ac081
1081,0.11800000000000001,8ac081
1082,0.11699999999999999,8b4394
1083,0.11599999999999999,8ac081
1084,0.115,8b4394
1085,0.114,8bc6a6
1086,0.113,8b851d
1087,0.11199999999999999,8b4394
1088,0.111,8c49b9
1089,0.11,8bc6a6
1090,0.109,8c0830
1091,0.10800000000000001,8c49b9
1092,0.107,8c8b42
1093,0.106,8c0830
1094,0.105,8c49b9
1095,0.10400000000000001,8d0e54
1096,0.10300000000000001,8ccccb
1097,0.102,8ccccb
1098,0.10099999999999999,8dd2f0
1099,0.1,79580f
1100,0.10099999999999999,378d4f
1101,0.102,0816ef
1102,0.10300000000000001,e8d4ff
1103,0.10400000000000001,d3b646
1104,0.105,c5e355
1105,0.106,bced92
1106,0.107,b53f7e
1107,0.10800000000000001,afdf3d
1108,0.109,ac8b45
1109,0.11,a8f5c4
1110,0.111,a66668
1111,0.11199999999999999,a45a1e
1112,0.113,a28f5d
1113,0.114,a08314
1114,0.115,9f3b66
1115,0.11599999999999999,9df3b8
1116,0.11699999999999999,9cac09
1117,0.11800000000000001,9b645b
1118,0.11900000000000001,9b22d2
1119,0.12,99db24
1120,0.121,989376
1121,0.122,9851ed
1122,0.12300000000000001,978d51
1123,0.124,96041a
1124,0.125,96041a
1125,0.126,953f7e
1126,0.127,943959
1127,0.128,9374be
1128,0.129,93b647
1129,0.13,92b022
1130,0.131,922d10
1131,0.132,91a9fd
1132,0.133,91a9fd
1133,0.134,90624f
1134,0.135,9020c6
1135,0.136,9020c6
1136,0.13699999999999998,8f1aa1
1137,0.138,8ed918
